Bank,Id,Total Assets,Total Deposits,Number of Employees,Net Income,Total Liabilities,Total Equity Capital,Derivatives,Return on Assets,Return on Equity
UMB Bank,59,"$40,354,002,000","$32,076,770,000","2,950","$94,815,000","$37,496,087,000","$2,857,915,000","$3,911,675,000",1%,14%
Prosperity Bank,60,"$37,828,891,000","$27,065,033,000","3,651","$127,601,000","$31,107,179,000","$6,721,712,000","$273,231,000",1%,8%
Hancock Whitney Bank,61,"$37,524,865,000","$29,775,084,000","3,679","$128,903,000","$34,018,501,000","$3,506,364,000","$7,446,255,000",1%,15%
Barclays Bank Delaware,62,"$37,352,000,000","$28,950,000,000","3,976","$155,000,000","$32,202,000,000","$5,150,000,000","$14,880,000,000",2%,12%
MidFirst Bank,63,"$37,240,719,000","$20,097,256,000","3,019","$129,409,000","$33,692,942,000","$3,547,777,000","$12,211,740,000",1%,14%
BankUnited,64,"$37,095,206,000","$25,977,302,000","1,637","$69,109,000","$34,184,459,000","$2,910,747,000","$6,100,644,000",1%,10%
"TIAA, FSB",65,"$36,801,333,000","$25,223,811,000","1,619","$61,890,000","$33,270,631,000","$3,530,702,000","$6,498,648,000",1%,7%
TD Bank USA,66,"$36,460,361,000","$31,785,853,000",97,"$123,883,000","$32,805,424,000","$3,654,937,000","$14,513,240,000",1%,14%
Deutsche Bank Trust Company Americas,67,"$36,103,000,000","$23,619,000,000",382,"$189,000,000","$26,426,000,000","$9,677,000,000","$19,773,000,000",2%,8%
"Charles Schwab Premier Bank, SSB",68,"$32,140,000,000","$22,813,000,000",121,"$14,000,000","$31,309,000,000","$831,000,000","$406,000,000",0%,10%
Beal Bank USA,69,"$32,045,498,000","$19,188,915,000",90,"$-81,283,000","$29,118,110,000","$2,927,388,000","$11,500,000,000",-1%,-11%
BNY Mellon,70,"$31,945,000,000","$25,068,000,000","1,539","$48,000,000","$28,103,000,000","$3,842,000,000",$0,1%,5%
Commerce Bank,71,"$31,853,365,000","$24,942,894,000","4,489","$117,613,000","$29,658,098,000","$2,195,267,000","$4,240,244,000",2%,22%
First Interstate Bank,72,"$31,565,171,000","$24,253,099,000","3,598","$62,350,000","$28,332,534,000","$3,232,637,000","$4,672,451,000",1%,8%
United Bank,73,"$30,108,080,000","$22,523,395,000","2,759","$103,013,000","$25,446,470,000","$4,661,610,000","$758,065,000",3%,36%
Sallie Mae Bank,74,"$29,388,655,000","$21,987,786,000","1,688","$138,599,000","$26,905,730,000","$2,482,925,000","$1,987,429,000",2%,23%
Bank OZK,75,"$28,971,170,000","$22,282,983,000","2,681","$169,899,000","$24,207,872,000","$4,763,298,000","$4,292,000",2%,14%
FirstBank,76,"$28,763,618,000","$25,090,355,000","2,561","$70,576,000","$27,476,834,000","$1,366,614,000","$2,583,058,000",2%,23%
Texas Capital Bank,77,"$28,591,507,000","$22,357,295,000","2,246","$43,229,000","$25,317,899,000","$3,273,608,000","$12,913,407,000",1%,5%
First National Bank of Omaha,78,"$28,393,321,000","$25,306,374,000","4,824","$69,613,000","$25,897,185,000","$2,496,136,000","$679,546,000",1%,11%
Glacier Bank,79,"$27,784,636,000","$20,258,443,000","3,384","$64,016,000","$24,817,182,000","$2,967,454,000","$93,834,000",1%,9%
Simmons Bank,80,"$27,538,237,000","$22,626,888,000","3,170","$53,331,000","$24,043,104,000","$3,495,133,000","$1,937,204,000",1%,6%
Fulton Bank,81,"$26,996,012,000","$21,472,295,000","3,322","$74,288,000","$24,133,343,000","$2,862,669,000","$12,798,928,000",1%,11%
Arvest Bank,82,"$26,945,886,000","$21,607,305,000","6,478","$-5,492,000","$25,084,529,000","$1,861,357,000","$4,121,487,000",0%,-1%
City National Bank of Florida,83,"$26,204,489,000","$22,081,259,000","1,018","$58,721,000","$24,060,994,000","$2,143,495,000","$6,347,612,000",1%,11%
Ameris Bank,84,"$25,991,033,000","$20,024,942,000","2,848","$68,005,000","$22,579,978,000","$3,411,055,000","$2,160,950,000",1%,8%
United Community Bank,85,"$25,814,879,000","$22,379,255,000","3,012","$65,504,000","$22,808,712,000","$3,006,167,000","$3,280,201,000",4%,31%
First Hawaiian Bank,86,"$24,883,294,000","$21,295,231,000","2,100","$68,679,000","$22,567,489,000","$2,315,805,000","$3,358,007,000",1%,12%
Bank of Hawaii,87,"$23,903,516,000","$20,512,796,000","2,025","$47,891,000","$22,588,371,000","$1,315,145,000","$4,051,726,000",1%,15%
Eastern Bank,88,"$22,702,386,000","$18,678,441,000","2,078","$-193,099,000","$20,253,816,000","$2,448,570,000","$5,080,396,000",-3%,-32%
Centennial Bank,89,"$22,451,769,000","$17,843,351,000","2,808","$116,566,000","$18,840,443,000","$3,611,326,000","$190,433,000",2%,13%
Washington Federal Bank,90,"$22,319,547,000","$16,098,183,000","2,097","$66,507,000","$20,095,476,000","$2,224,071,000","$3,190,841,000",1%,12%
Cathay Bank,91,"$22,015,796,000","$18,676,469,000","1,243","$94,091,000","$19,397,268,000","$2,618,528,000","$2,382,945,000",2%,15%
Customers Bank,92,"$21,768,466,000","$17,809,961,000",657,"$55,525,000","$20,230,807,000","$1,537,659,000","$1,686,076,000",1%,15%
"AMERIPRISE BANK, FSB",93,"$21,085,382,000","$20,007,954,000",144,"$136,707,000","$20,216,135,000","$869,247,000",$0,3%,74%
Stifel Bank and Trust,94,"$20,969,212,000","$19,128,679,000",293,"$144,924,000","$19,384,839,000","$1,584,373,000","$634,261,000",3%,36%
Bank of Hope,95,"$20,563,590,000","$16,073,804,000","1,479","$42,750,000","$18,434,783,000","$2,128,807,000","$3,915,763,000",1%,8%
"Wilmington Savings Fund Society, FSB",96,"$20,218,887,000","$16,375,901,000","2,109","$65,747,000","$17,880,592,000","$2,338,295,000","$5,154,825,000",1%,12%
Atlantic Union Bank,97,"$19,989,774,000","$16,471,268,000","1,840","$40,931,000","$17,246,860,000","$2,742,914,000","$6,550,827,000",1%,6%
Rockland Trust Company,98,"$19,445,034,000","$15,365,316,000","1,670","$62,700,000","$16,571,374,000","$2,873,660,000","$5,495,748,000",1%,9%
FirstBank Puerto Rico,99,"$18,969,247,000","$16,095,203,000","3,099","$71,808,000","$17,424,373,000","$1,544,874,000","$59,860,000",2%,19%
Axos Bank,100,"$18,940,273,000","$16,864,643,000","1,126","$71,673,000","$17,104,489,000","$1,835,784,000","$368,054,000",2%,16%
Trustmark National Bank,101,"$18,874,809,000","$14,861,077,000","2,758","$52,272,000","$17,205,269,000","$1,669,540,000","$3,172,751,000",1%,13%
The Central Trust Bank,102,"$18,850,388,000","$15,047,467,000","2,831","$69,649,000","$17,332,106,000","$1,518,282,000","$454,581,000",1%,18%
Independent Bank,103,"$18,793,142,000","$14,060,055,000","1,478","$14,132,000","$16,060,012,000","$2,733,130,000","$962,640,000",2%,15%
First Merchants Bank,104,"$18,164,976,000","$14,766,101,000","2,139","$66,685,000","$15,962,993,000","$2,201,983,000","$2,600,787,000",1%,12%
Mechanics Bank,105,"$17,946,221,000","$14,840,424,000","1,673","$52,193,000","$15,840,088,000","$2,106,133,000","$1,001,813,000",1%,13%
Renasant Bank,106,"$17,479,420,000","$14,076,250,000","2,271","$51,309,000","$15,037,035,000","$2,442,385,000","$2,803,948,000",1%,8%
"WesBanco Bank, Inc.",107,"$17,236,685,000","$13,150,112,000","2,461","$45,945,000","$14,783,476,000","$2,453,209,000","$1,365,276,000",1%,8%
Tristate Capital Bank,108,"$17,050,232,000","$15,063,915,000",401,"$29,692,000","$16,044,308,000","$1,005,924,000","$6,728,906,000",1%,12%
"BANCO BILBAO VIZCAYA, S.A.",109,"$16,985,867,000","$4,765,921,000",0,$0,"$16,985,867,000",$0,$0,0%,0%
Apple Bank for Savings,110,"$16,888,361,000","$15,138,762,000","1,324","$34,908,000","$15,560,919,000","$1,327,442,000","$2,399,778,000",1%,11%
First Financial Bank,111,"$16,856,740,000","$12,776,260,000","2,066","$78,296,000","$14,627,269,000","$2,229,471,000","$20,705,620,000",2%,"1,063%"
TowneBank,112,"$16,730,476,000","$13,674,192,000","2,722","$38,333,000","$14,740,582,000","$1,989,894,000","$319,424,000",1%,8%
Bank of America California,113,"$16,550,000,000","$10,144,000,000",0,"$57,000,000","$14,277,000,000","$2,273,000,000",$0,1%,10%
Wells Fargo National Bank West,114,"$16,473,328,000","$12,537,257,000",0,"$-26,937,000","$14,751,076,000","$1,722,252,000","$2,117,741,000",-1%,-6%
Citizens Business Bank,115,"$16,271,462,000","$12,305,990,000","1,040","$60,647,000","$14,294,445,000","$1,977,017,000","$997,563,000",1%,12%
Third Federal Savings and Loan Association of Cleveland,116,"$16,249,256,000","$9,132,194,000","1,017","$14,326,000","$14,662,336,000","$1,586,920,000","$3,048,662,000",0%,4%
"Optum Bank, Inc.",117,"$16,022,148,000","$13,601,439,000",524,"$98,835,000","$14,302,893,000","$1,719,255,000",$0,2%,25%
Bremer Bank,118,"$15,763,213,000","$13,149,808,000","1,439","$47,497,000","$14,436,110,000","$1,327,103,000","$4,080,541,000",1%,15%
State Bank of India,119,"$15,747,979,000","$10,850,622,000",0,$0,"$15,747,979,000",$0,$0,0%,0%
Banner Bank,120,"$15,525,483,000","$13,242,494,000","1,957","$58,649,000","$13,908,472,000","$1,617,011,000","$1,363,037,000",1%,15%
First United Bank and Trust Company,121,"$15,411,885,000","$12,324,724,000","1,967","$20,850,000","$14,100,461,000","$1,311,424,000","$2,524,604,000",1%,16%
Seacoast National Bank,122,"$15,247,533,000","$12,316,316,000","1,650","$12,671,000","$13,229,656,000","$2,017,877,000","$1,169,207,000",0%,3%
NexBank,123,"$15,179,873,000","$10,694,557,000",102,"$34,729,000","$14,006,819,000","$1,173,054,000","$3,221,055,000",1%,12%
Community Bank,124,"$15,032,060,000","$13,319,357,000","2,221","$4,462,000","$13,777,807,000","$1,254,253,000","$69,000",3%,64%
ServisFirst Bank,125,"$14,565,304,000","$11,635,092,000",573,"$58,737,000","$13,165,867,000","$1,399,437,000","$312,979,000",2%,17%
Northwest Bank,126,"$14,270,252,000","$11,930,850,000","2,066","$36,724,000","$12,813,420,000","$1,456,832,000","$1,565,350,000",1%,13%
Sandy Spring Bank,127,"$14,126,844,000","$11,158,404,000","1,170","$54,562,000","$12,306,679,000","$1,820,165,000","$384,738,000",2%,12%
Merchants Bank of Indiana,128,"$13,954,950,000","$11,163,618,000",534,"$53,728,000","$12,526,491,000","$1,428,459,000","$273,610,000",2%,15%
PlainsCapital Bank,129,"$13,836,907,000","$11,031,187,000","2,866","$30,152,000","$12,276,921,000","$1,559,986,000","$3,132,388,000",1%,8%
Dime Community Bank,130,"$13,826,566,000","$10,588,514,000",833,"$38,824,000","$12,451,585,000","$1,374,981,000","$3,087,383,000",1%,11%
Provident Bank,131,"$13,773,422,000","$10,344,658,000","1,148","$41,567,000","$12,174,939,000","$1,598,483,000","$2,887,793,000",1%,11%
First Foundation Bank,132,"$13,585,967,000","$10,084,478,000",595,"$10,343,000","$12,305,012,000","$1,280,955,000",$0,0%,3%
OceanFirst Bank,133,"$13,447,967,000","$10,062,472,000",951,"$35,063,000","$11,808,762,000","$1,639,205,000","$3,091,224,000",1%,9%
Enterprise Bank & Trust,134,"$13,300,684,000","$11,276,695,000","1,155","$57,166,000","$11,690,024,000","$1,610,660,000","$1,182,872,000",2%,14%
SoFi Bank,135,"$13,239,321,000","$10,375,397,000",831,"$72,977,000","$11,786,349,000","$1,452,972,000","$3,840,375,000",3%,22%
Bell Bank,136,"$13,134,999,000","$11,692,564,000","1,922","$19,062,000","$11,908,684,000","$1,226,315,000","$841,244,000",1%,6%
Israel Discount Bank of New York,137,"$12,829,825,000","$10,781,587,000",662,"$29,615,000","$11,677,816,000","$1,152,009,000","$7,350,325,000",1%,10%
Veritex Community Bank,138,"$12,601,304,000","$9,046,493,000",780,"$41,116,000","$10,892,697,000","$1,708,607,000","$3,831,717,000",1%,10%
First Bank,139,"$12,367,423,000","$10,390,531,000","1,443","$16,887,000","$10,972,060,000","$1,395,363,000","$990,864,000",4%,37%
Berkshire Bank,140,"$12,314,668,000","$10,178,767,000","1,328","$28,970,000","$11,311,817,000","$1,002,851,000","$4,537,078,000",1%,12%
Busey Bank,141,"$12,314,348,000","$9,901,960,000","1,415","$41,654,000","$10,895,590,000","$1,418,758,000","$1,639,511,000",1%,12%
Popular Bank,142,"$12,145,033,000","$9,618,515,000",745,"$24,988,000","$10,166,810,000","$1,978,223,000",$0,1%,5%
Farmers and Merchants Bank of Long Beach,143,"$12,021,615,000","$8,969,147,000",786,"$21,624,000","$10,712,446,000","$1,309,169,000",$0,1%,7%
Comenity Capital Bank,144,"$11,913,520,000","$8,831,549,000",106,"$413,917,000","$9,658,867,000","$2,254,653,000",$0,12%,77%
BMW Bank of North America,145,"$11,859,403,000","$7,914,811,000",28,"$62,078,000","$10,247,614,000","$1,611,789,000",$0,2%,15%
Charles Schwab Trust Bank,146,"$11,848,000,000","$11,436,000,000",213,"$41,000,000","$11,479,000,000","$369,000,000","$125,000,000",1%,52%
NBT Bank,147,"$11,758,898,000","$9,832,834,000","1,551","$32,441,000","$10,528,427,000","$1,230,471,000","$2,678,629,000",1%,11%
"Dollar Bank, Federal Savings Bank",148,"$11,446,147,000","$9,082,678,000","1,473","$15,456,000","$10,374,798,000","$1,071,349,000","$356,683,000",1%,6%
First Commonwealth Bank,149,"$11,084,845,000","$9,271,250,000","1,536","$33,071,000","$9,854,448,000","$1,230,397,000","$2,586,191,000",1%,12%
EagleBank,150,"$11,040,406,000","$7,507,575,000",486,"$26,651,000","$9,810,758,000","$1,229,648,000","$831,739,000",1%,9%
Lakeland Bank,151,"$10,836,959,000","$8,587,597,000",883,"$21,522,000","$9,579,686,000","$1,257,273,000","$2,028,677,000",1%,7%
Stellar Bank,152,"$10,595,556,000","$8,759,081,000","1,025","$39,074,000","$9,107,264,000","$1,488,292,000","$257,762,000",1%,11%
HTLF Bank,153,"$10,512,717,000","$9,275,577,000","1,455","$31,699,000","$9,556,654,000","$956,063,000","$1,666,845,000",1%,15%
Washington Trust Bank,154,"$10,505,374,000","$8,352,014,000","1,161","$22,532,000","$9,667,272,000","$838,102,000","$98,628,000",1%,11%
BancFirst,155,"$10,424,300,000","$9,039,593,000","1,863","$46,408,000","$9,347,573,000","$1,076,727,000","$52,528,000",2%,18%
Columbia Bank,156,"$10,313,354,000","$7,509,780,000",765,"$18,712,000","$9,342,234,000","$971,120,000","$1,057,560,000",1%,8%
Origin Bank,157,"$10,301,973,000","$8,259,415,000",877,"$24,882,000","$9,296,803,000","$1,005,170,000","$795,000,000",1%,10%
Live Oak Banking Company,158,"$10,249,719,000","$9,515,446,000",947,"$960,000","$9,584,303,000","$665,416,000","$7,334,000",0%,1%
Capitol Federal Savings Bank,159,"$10,098,222,000","$6,279,437,000",684,"$14,277,000","$9,119,861,000","$978,361,000","$365,309,000",1%,6%
Banc of California,160,"$10,033,324,000","$6,987,800,000",661,"$23,719,000","$8,846,279,000","$1,187,045,000","$377,866,000",1%,8%
Oriental Bank,161,"$9,958,767,000","$8,580,635,000","2,218","$44,317,000","$8,960,241,000","$998,526,000","$26,133,000",2%,18%
ConnectOne Bank,162,"$9,955,819,000","$7,790,191,000",511,"$26,826,000","$8,758,832,000","$1,196,987,000","$950,000,000",1%,9%
NBH Bank,163,"$9,876,670,000","$7,653,674,000","1,299","$42,729,000","$8,802,369,000","$1,074,301,000","$808,239,000",2%,16%
HomeStreet Bank,164,"$9,853,995,000","$7,067,823,000",923,"$8,223,000","$9,070,707,000","$783,288,000","$432,365,000",0%,4%
Tri Counties Bank,165,"$9,839,751,000","$8,032,525,000","1,219","$37,119,000","$8,656,931,000","$1,182,820,000",$0,2%,13%
The Park National Bank,166,"$9,817,967,000","$8,583,204,000","1,759","$36,269,000","$8,884,711,000","$933,256,000","$25,179,000",1%,16%
Bank of Baroda,167,"$9,688,758,000","$7,238,910,000",0,$0,"$9,688,758,000",$0,$0,0%,0%
"American Savings Bank, FSB",168,"$9,610,070,000","$8,276,318,000","1,055","$18,562,000","$9,117,608,000","$492,462,000","$4,717,000",1%,15%
Amerant Bank,169,"$9,478,177,000","$7,354,417,000",722,"$23,516,000","$8,677,476,000","$800,701,000","$2,850,938,000",1%,12%
Woodforest National Bank,170,"$9,339,334,000","$8,378,858,000","4,574","$54,899,000","$8,575,589,000","$763,745,000","$754,796,000",2%,29%
Wintrust Bank,171,"$9,231,463,000","$7,862,099,000",581,"$53,718,000","$8,157,429,000","$1,074,034,000","$8,441,889,000",2%,21%
International Bank of Commerce,172,"$9,210,021,000","$6,573,417,000","1,324","$63,730,000","$7,816,026,000","$1,393,995,000","$85,038,000",3%,48%
S&T Bank,173,"$9,189,090,000","$7,168,242,000","1,181","$41,115,000","$7,964,120,000","$1,224,970,000","$2,748,530,000",2%,14%
Safra National Bank of New York,174,"$9,035,727,000","$7,348,610,000",286,"$44,942,000","$7,917,394,000","$1,118,333,000","$6,441,541,000",2%,16%
Bank Hapoalim B.M.,175,"$8,935,928,000","$5,475,564,000",0,$0,"$8,935,928,000",$0,$0,0%,0%
Stifel Bank,176,"$8,679,052,000","$8,132,203,000",40,"$22,986,000","$8,161,142,000","$517,910,000","$22,500,000",1%,21%
Comenity Bank,177,"$8,551,192,000","$4,363,683,000",615,"$129,772,000","$7,277,285,000","$1,273,907,000",$0,6%,40%
Premier Bank,178,"$8,513,389,000","$6,824,004,000","1,032","$18,569,000","$7,578,517,000","$934,872,000","$693,537,000",2%,19%
Flushing Bank,179,"$8,478,647,000","$6,754,067,000",571,"$5,820,000","$7,593,221,000","$885,426,000","$1,612,516,000",0%,3%
Cross River Bank,180,"$8,461,864,000","$5,810,910,000",906,"$20,494,000","$7,391,929,000","$1,069,935,000","$23,787,000",1%,8%
Amarillo National Bank,181,"$8,451,208,000","$7,406,693,000",872,"$45,596,000","$7,614,009,000","$837,199,000","$211,120,000",2%,22%
LendingClub Bank,182,"$8,394,906,000","$7,241,463,000","1,303","$13,060,000","$7,440,523,000","$954,383,000","$130,088,000",1%,6%
Kearny Bank,183,"$8,343,244,000","$5,872,714,000",535,"$10,351,000","$7,559,545,000","$783,699,000","$1,939,862,000",0%,5%
1st Source Bank,184,"$8,325,743,000","$6,801,967,000","1,178","$33,158,000","$7,382,764,000","$942,979,000","$1,096,847,000",2%,15%
Luther Burbank Savings,185,"$8,299,806,000","$5,681,033,000",254,"$15,299,000","$7,461,234,000","$838,572,000","$1,800,000,000",1%,7%
Nicolet National Bank,186,"$8,176,589,000","$6,988,762,000",942,"$-7,720,000","$7,096,205,000","$1,080,384,000","$34,829,000",0%,-3%
Principal Bank,187,"$8,145,069,000","$7,797,495,000",653,"$28,444,000","$7,873,030,000","$272,039,000","$6,168,900,000",1%,48%
The First Bank,188,"$8,007,292,000","$6,676,347,000","1,089","$20,314,000","$6,973,705,000","$1,033,587,000","$347,397,000",1%,9%
Midland States Bank,189,"$7,921,298,000","$6,429,163,000",931,"$23,172,000","$7,044,778,000","$876,520,000","$228,564,000",1%,11%
